Q1,How humanlike did the chatbot feel?
Q2,How experienced did the chatbot feel when providing you with information?
Q3,How polite was the chatbot when communicating with you?  
Q4,How responsive was the chatbot to your input? 
Q5,How engaging was the system?
Q6,How trustworthy did the chatbot feel when providing results?
Q7,How easy-to-use was the chatbot?
Q8,I felt a sense of human contact with the chatbot.
Q9,I felt a sense of personality coming from the chatbot.
Q10,I felt a sense of empathy for the chatbot.
Q11,I felt a sense of safety with the chatbot.
